Hour,Visibility (10m)_sqrt,Dew point temperature(°C),Solar Radiation (MJ/m2)_log,Rainfall(mm)_log,Snowfall (cm)_log,Seasons,Holiday,Functioning Day,month,day
2,42.35563716909474,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
3,42.36744032862972,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
4,43.255057507764334,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
5,41.80908992073375,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
6,40.3732584763727,-2.5,0.0,0.09531017980432493,0.0,Winter,No Holiday,Yes,December,4
7,36.0416425818802,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
8,32.357379374726875,-5.7,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,4
9,10.63014581273465,-11.3,0.19885085874516517,0.0,0.0,Winter,No Holiday,Yes,December,4
10,1.0,-13.0,0.4946962418361071,0.0,0.0,Winter,No Holiday,Yes,December,4
11,14.212670403551895,-12.1,0.6626879730752367,0.0,0.0,Winter,No Holiday,Yes,December,4
12,13.341664064126334,-12.9,0.7466879474879753,0.0,0.0,Winter,No Holiday,Yes,December,4
13,7.937253933193772,-15.5,0.7747271675523681,0.0,0.0,Winter,No Holiday,Yes,December,4
14,1.0,-16.7,0.7371640659767196,0.0,0.0,Winter,No Holiday,Yes,December,4
15,1.0,-17.8,0.6312717768418578,0.0,0.0,Winter,No Holiday,Yes,December,4
16,1.0,-18.8,0.4382549309311553,0.0,0.0,Winter,No Holiday,Yes,December,4
17,1.0,-18.3,0.16551443847757333,0.0,0.0,Winter,No Holiday,Yes,December,4
18,1.0,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
19,1.0,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
20,1.0,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
21,1.0,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
22,1.0,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
23,1.0,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
0,1.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
1,1.0,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
2,1.0,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
3,1.0,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
4,1.0,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
5,1.0,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
6,1.0,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
7,1.0,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
8,1.0,-20.5,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,5
9,5.196152422706632,-21.8,0.1906203596086497,0.0,0.0,Winter,No Holiday,Yes,December,5
10,5.830951894845301,-22.0,0.4946962418361071,0.0,0.0,Winter,No Holiday,Yes,December,5
11,6.48074069840786,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
12,6.244997998398398,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
13,6.782329983125268,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
14,1.0,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
15,1.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
16,1.0,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
17,1.0,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
18,1.0,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
19,1.0,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
20,1.0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
21,1.0,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
22,1.0,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
23,28.124722220850465,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
0,40.8656334834051,-6.2,0.0,0.09531017980432493,0.09531017980432493,Winter,No Holiday,Yes,December,6
1,41.32795663954365,-6.1,0.0,0.0,0.26236426446749106,Winter,No Holiday,Yes,December,6
2,11.789826122551595,-6.1,0.0,0.0,0.3364722366212129,Winter,No Holiday,Yes,December,6
3,13.892443989449804,-6.4,0.0,0.1823215567939546,0.3364722366212129,Winter,No Holiday,Yes,December,6
4,4.358898943540674,-7.2,0.0,0.0,0.3364722366212129,Winter,No Holiday,Yes,December,6
5,8.18535277187245,-7.2,0.0,0.0,0.3364722366212129,Winter,No Holiday,Yes,December,6
6,11.704699910719626,-7.3,0.0,0.0,0.3364722366212129,Winter,No Holiday,Yes,December,6
7,16.1245154965971,-7.6,0.0,0.0,0.26236426446749106,Winter,No Holiday,Yes,December,6
8,21.97726097583591,-7.4,0.009950330853168092,0.0,0.1823215567939546,Winter,No Holiday,Yes,December,6
9,26.019223662515376,-7.9,0.22314355131420976,0.0,0.1823215567939546,Winter,No Holiday,Yes,December,6
10,27.874719729532707,-6.8,0.4885800148186709,0.0,0.1823215567939546,Winter,No Holiday,Yes,December,6
11,27.202941017470888,-6.0,0.6575200029167942,0.0,0.0,Winter,No Holiday,Yes,December,6
12,27.874719729532707,-6.4,0.7323678937132266,0.0,0.0,Winter,No Holiday,Yes,December,6
13,23.065125189341593,-6.1,0.7419373447293773,0.0,0.0,Winter,No Holiday,Yes,December,6
14,5.916079783099616,-9.1,0.6729444732424258,0.0,0.0,Winter,No Holiday,Yes,December,6
15,5.744562646538029,-10.3,0.5423242908253617,0.0,0.0,Winter,No Holiday,Yes,December,6
16,1.0,-8.2,0.30748469974796055,0.0,0.0,Winter,No Holiday,Yes,December,6
17,20.8806130178211,-2.9,0.09531017980432493,0.0,0.0,Winter,No Holiday,Yes,December,6
18,43.98863489584554,0.2,0.0,0.26236426446749106,0.26236426446749106,Winter,No Holiday,Yes,December,6
19,42.67317658670374,0.0,0.0,0.0,0.6931471805599453,Winter,No Holiday,Yes,December,6
20,42.1070065428546,0.3,0.0,0.0,0.6931471805599453,Winter,No Holiday,Yes,December,6
21,42.02380277890139,0.0,0.0,0.5306282510621704,0.6931471805599453,Winter,No Holiday,Yes,December,6
22,42.04759208325728,0.1,0.0,0.0,0.6931471805599453,Winter,No Holiday,Yes,December,6
23,42.33202097703345,0.1,0.0,0.0,0.6931471805599453,Winter,No Holiday,Yes,December,6
0,41.96427051671457,0.2,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
1,42.118879377305376,0.3,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
2,42.81354925721529,0.2,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
3,42.22558466143482,0.5,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
4,43.382023926967726,0.4,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
5,42.731721238442994,0.3,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
6,43.04648650006177,0.0,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
7,42.7551166528639,-0.7,0.0,0.0,0.6418538861723947,Winter,No Holiday,Yes,December,7
8,42.7551166528639,-0.7,0.009950330853168092,0.0,0.5877866649021191,Winter,No Holiday,Yes,December,7
9,41.66533331199932,-1.1,0.1310282624064042,0.0,0.5877866649021191,Winter,No Holiday,Yes,December,7
10,41.10960958218893,-1.4,0.34358970439007686,0.0,0.5306282510621704,Winter,No Holiday,Yes,December,7
11,37.05401462729781,-2.8,0.4885800148186709,0.0,0.47000362924573563,Winter,No Holiday,Yes,December,7
12,34.17601498127012,-2.2,0.6830968447064438,0.0,0.26236426446749106,Winter,No Holiday,Yes,December,7
13,15.297058540778355,-9.3,0.7608058290337599,0.0,0.0,Winter,No Holiday,Yes,December,7
14,5.0990195135927845,-9.4,0.712949807856125,0.0,0.0,Winter,No Holiday,Yes,December,7
15,6.244997998398398,-10.1,0.6097655716208942,0.0,0.0,Winter,No Holiday,Yes,December,7
16,13.564659966250536,-9.7,0.412109650826833,0.0,0.0,Winter,No Holiday,Yes,December,7
17,23.811761799581316,-7.2,0.13976194237515863,0.0,0.0,Winter,No Holiday,Yes,December,7
18,21.047565179849187,-9.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
19,27.055498516937366,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
20,19.519221295943137,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
21,5.0990195135927845,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
22,12.529964086141668,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
23,10.677078252031311,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
0,10.392304845413264,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
1,9.9498743710662,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
2,9.1104335791443,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
3,4.795831523312719,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
4,8.06225774829855,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
5,7.745966692414834,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
6,12.165525060596439,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
7,15.0,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
8,21.02379604162864,-13.6,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,8
9,22.561028345356956,-15.4,0.20701416938432612,0.0,0.0,Winter,No Holiday,Yes,December,8
10,22.02271554554524,-15.6,0.4885800148186709,0.0,0.0,Winter,No Holiday,Yes,December,8
11,20.149441679609886,-15.6,0.6575200029167942,0.0,0.0,Winter,No Holiday,Yes,December,8
12,16.522711641858304,-17.3,0.7608058290337599,0.0,0.0,Winter,No Holiday,Yes,December,8
13,6.164414002968976,-17.8,0.797507195884188,0.0,0.0,Winter,No Holiday,Yes,December,8
14,9.746794344808963,-17.9,0.7514160886839212,0.0,0.0,Winter,No Holiday,Yes,December,8
15,4.898979485566356,-17.9,0.6259384308664954,0.0,0.0,Winter,No Holiday,Yes,December,8
16,1.0,-19.1,0.44468582126144574,0.0,0.0,Winter,No Holiday,Yes,December,8
17,1.0,-17.6,0.16551443847757333,0.0,0.0,Winter,No Holiday,Yes,December,8
18,1.0,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
19,1.0,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
20,1.0,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
21,1.0,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
22,1.0,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
23,1.0,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
0,5.830951894845301,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
1,1.0,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
2,4.242640687119285,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
3,3.0,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
4,1.0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
5,1.4142135623730951,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
6,5.0990195135927845,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
7,7.14142842854285,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
8,7.810249675906654,-12.8,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,9
9,14.730919862656235,-14.0,0.20701416938432612,0.0,0.0,Winter,No Holiday,Yes,December,9
10,18.841443681416774,-13.4,0.47623417899637155,0.0,0.0,Winter,No Holiday,Yes,December,9
11,22.38302928559939,-10.5,0.6365768290715511,0.0,0.0,Winter,No Holiday,Yes,December,9
12,13.856406460551018,-9.8,0.7178397931503168,0.0,0.0,Winter,No Holiday,Yes,December,9
13,17.291616465790582,-9.8,0.7561219797213337,0.0,0.0,Winter,No Holiday,Yes,December,9
14,7.280109889280518,-10.6,0.7227059828014898,0.0,0.0,Winter,No Holiday,Yes,December,9
15,6.164414002968976,-11.0,0.6097655716208942,0.0,0.0,Winter,No Holiday,Yes,December,9
16,6.164414002968976,-10.5,0.3364722366212129,0.0,0.0,Winter,No Holiday,Yes,December,9
17,6.164414002968976,-9.8,0.09531017980432493,0.0,0.0,Winter,No Holiday,Yes,December,9
18,5.196152422706632,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
19,11.090536506409418,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
20,12.36931687685298,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
21,18.627936010197157,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
22,18.601075237738275,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
23,20.760539492026695,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
0,19.28730152198591,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
1,15.937377450509228,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
2,16.583123951777,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
3,15.905973720586866,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
4,13.601470508735444,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
5,42.69660408041839,-3.7,0.0,0.0,0.5306282510621704,Winter,No Holiday,Yes,December,10
6,43.70354676682432,-1.9,0.0,1.252762968495368,1.308332819650179,Winter,No Holiday,Yes,December,10
7,43.3589667773576,-1.5,0.0,0.0,1.6094379124341003,Winter,No Holiday,Yes,December,10
8,40.28647415696737,-1.6,0.0,0.0,1.62924053973028,Winter,No Holiday,Yes,December,10
9,41.182520563948,-1.2,0.0,0.9555114450274363,1.667706820558076,Winter,No Holiday,Yes,December,10
10,43.104524124504614,-0.8,0.0,0.0,1.667706820558076,Winter,No Holiday,Yes,December,10
11,43.174066289845804,-0.2,0.02955880224154443,0.0,1.589235205116581,Winter,No Holiday,Yes,December,10
12,41.90465367951393,0.5,0.2468600779315258,0.0,1.410986973710262,Winter,No Holiday,Yes,December,10
13,42.08325082500163,1.3,0.43178241642553783,0.0,1.1314021114911006,Winter,No Holiday,Yes,December,10
14,40.93897898091744,1.8,0.5007752879124892,0.0,0.8754687373538999,Winter,No Holiday,Yes,December,10
15,35.86084215408221,0.1,0.30010459245033816,0.0,0.6931471805599453,Winter,No Holiday,Yes,December,10
16,37.134889255254286,0.5,0.1823215567939546,0.0,0.4054651081081644,Winter,No Holiday,Yes,December,10
17,30.659419433511783,-2.3,0.02955880224154443,0.0,0.3364722366212129,Winter,No Holiday,Yes,December,10
18,1.0,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
19,1.0,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
20,6.855654600401044,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
21,11.789826122551595,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
22,1.0,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
23,1.0,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
0,1.0,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
1,1.0,-16.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
2,1.0,-17.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
3,1.0,-16.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
4,1.0,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
5,5.196152422706632,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
6,4.69041575982343,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
7,2.23606797749979,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
8,2.6457513110645907,-18.0,0.009950330853168092,0.0,0.0,Winter,No Holiday,Yes,December,11
9,7.745966692414834,-18.6,0.09531017980432493,0.0,0.0,Winter,No Holiday,Yes,December,11
10,1.0,-19.4,0.4824261492442928,0.0,0.0,Winter,No Holiday,Yes,December,11
11,1.0,-17.5,0.6931471805599453,0.0,0.0,Winter,No Holiday,Yes,December,11
12,5.291502622129181,-19.0,0.8153648132841944,0.0,0.0,Winter,No Holiday,Yes,December,11
13,3.872983346207417,-19.5,0.8064758658669485,0.0,0.0,Winter,No Holiday,Yes,December,11
14,7.483314773547883,-19.9,0.7561219797213337,0.0,0.0,Winter,No Holiday,Yes,December,11
15,1.0,-19.2,0.6523251860396901,0.0,0.0,Winter,No Holiday,Yes,December,11
16,1.0,-17.4,0.4382549309311553,0.0,0.0,Winter,No Holiday,Yes,December,11
17,1.0,-17.3,0.16551443847757333,0.0,0.0,Winter,No Holiday,Yes,December,11
18,1.0,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
19,1.0,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
20,1.0,-18.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
21,1.0,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
22,1.0,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
23,1.0,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
0,1.0,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
1,1.0,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
2,1.0,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
3,2.449489742783178,-19.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
4,4.358898943540674,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
5,7.0710678118654755,-21.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
6,5.291502622129181,-20.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
7,8.48528137423857,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
8,9.327379053088816,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
9,6.708203932499369,-21.1,0.09531017980432493,0.0,0.0,Winter,No Holiday,Yes,December,12
10,12.083045973594572,-20.1,0.47000362924573563,0.0,0.0,Winter,No Holiday,Yes,December,12
11,13.638181696985855,-19.9,0.6575200029167942,0.0,0.0,Winter,No Holiday,Yes,December,12
12,5.830951894845301,-21.0,0.7608058290337599,0.0,0.0,Winter,No Holiday,Yes,December,12
13,6.782329983125268,-19.1,0.797507195884188,0.0,0.0,Winter,No Holiday,Yes,December,12
14,8.426149773176359,-19.5,0.7514160886839212,0.0,0.0,Winter,No Holiday,Yes,December,12
15,1.0,-20.6,0.6523251860396901,0.0,0.0,Winter,No Holiday,Yes,December,12
16,4.242640687119285,-21.2,0.4574248470388755,0.0,0.0,Winter,No Holiday,Yes,December,12
17,1.0,-20.9,0.17395330712343798,0.0,0.0,Winter,No Holiday,Yes,December,12
18,1.0,-20.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
19,1.0,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
20,1.0,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
21,1.4142135623730951,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
22,1.4142135623730951,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
23,1.0,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
0,2.23606797749979,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
1,2.0,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
2,7.211102550927978,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
3,9.38083151964686,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
4,9.695359714832659,-18.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
5,8.831760866327848,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
6,5.196152422706632,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
7,1.7320508075688772,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
8,1.0,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
9,4.47213595499958,-20.4,0.09531017980432493,0.0,0.0,Winter,No Holiday,Yes,December,13
