Hour,Wind speed (m/s)_clipped,Visibility (10m)_clipped,Dew point temperature(°C)_clipped,Solar Radiation (MJ/m2)_clipped,Rainfall(mm)_clipped,Snowfall (cm)_clipped,Seasons,Holiday,Functioning Day,month,day
7,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
8,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes,December,2
9,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes,December,2
10,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes,December,2
11,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes,December,2
12,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes,December,2
13,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes,December,2
14,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes,December,2
15,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes,December,2
16,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes,December,2
17,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes,December,2
18,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
19,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
20,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
21,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
22,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
23,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,2
0,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
1,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
2,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
3,1.6,1011,-1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
4,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
5,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
6,2.5,278,1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
7,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
8,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
9,1.8,231,2.1,0.02,0.0,0.0,Winter,No Holiday,Yes,December,3
10,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes,December,3
11,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes,December,3
12,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes,December,3
13,1.9,390,3.7,0.6,0.0,0.0,Winter,No Holiday,Yes,December,3
14,1.2,422,3.6,0.69,0.0,0.0,Winter,No Holiday,Yes,December,3
15,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes,December,3
16,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes,December,3
17,1.5,358,3.8,0.05,0.0,0.0,Winter,No Holiday,Yes,December,3
18,1.9,327,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
19,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
20,1.4,253,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
21,1.2,247,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
22,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
23,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,3
0,0.6,216,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
1,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
2,1.8,207,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
3,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
4,1.5,130,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
5,2.7,253,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
6,3.7,371,-2.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
7,3.4,702,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
8,3.5,954,-5.7,0.01,0.0,0.0,Winter,No Holiday,Yes,December,4
9,4.2,1888,-11.3,0.22,0.0,0.0,Winter,No Holiday,Yes,December,4
10,4.3999999999999995,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes,December,4
11,4.1,1799,-12.1,0.94,0.0,0.0,Winter,No Holiday,Yes,December,4
12,4.3999999999999995,1823,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes,December,4
13,4.3999999999999995,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes,December,4
14,4.3999999999999995,2000,-16.7,1.09,0.0,0.0,Winter,No Holiday,Yes,December,4
15,4.3999999999999995,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes,December,4
16,4.3999999999999995,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes,December,4
17,4.3999999999999995,2000,-18.3,0.18,0.0,0.0,Winter,No Holiday,Yes,December,4
18,3.9,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
19,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
20,3.0,2000,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
21,4.3999999999999995,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
22,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
23,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,4
0,2.6,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
1,2.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
2,2.5,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
3,2.0,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
4,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
5,2.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
6,3.2,2000,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
7,2.2,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
8,1.6,2000,-20.5,0.01,0.0,0.0,Winter,No Holiday,Yes,December,5
9,1.3,1974,-21.8,0.21,0.0,0.0,Winter,No Holiday,Yes,December,5
10,2.8,1967,-22.0,0.64,0.0,0.0,Winter,No Holiday,Yes,December,5
11,0.0,1959,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
12,0.0,1962,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
13,0.0,1955,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
14,0.0,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
15,0.0,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
16,0.0,2000,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
17,0.0,2000,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
18,0.0,2000,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
19,0.0,2000,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
20,0.0,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
21,0.0,2000,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
22,0.0,2000,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
23,0.0,1210,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,5
0,0.0,331,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
1,0.0,293,-6.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
2,0.0,1862,-6.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
3,0.0,1808,-6.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
4,0.0,1982,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
5,0.0,1934,-7.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
6,0.0,1864,-7.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
7,0.0,1741,-7.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
8,0.0,1518,-7.4,0.01,0.0,0.0,Winter,No Holiday,Yes,December,6
9,0.0,1324,-7.9,0.25,0.0,0.0,Winter,No Holiday,Yes,December,6
10,0.0,1224,-6.8,0.63,0.0,0.0,Winter,No Holiday,Yes,December,6
11,1.2,1261,-6.0,0.93,0.0,0.0,Winter,No Holiday,Yes,December,6
12,0.9,1224,-6.4,1.08,0.0,0.0,Winter,No Holiday,Yes,December,6
13,1.1,1469,-6.1,1.1,0.0,0.0,Winter,No Holiday,Yes,December,6
14,1.0,1966,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes,December,6
15,3.1,1968,-10.3,0.72,0.0,0.0,Winter,No Holiday,Yes,December,6
16,2.9,2000,-8.2,0.36,0.0,0.0,Winter,No Holiday,Yes,December,6
17,2.5,1565,-2.9,0.1,0.0,0.0,Winter,No Holiday,Yes,December,6
18,1.0,66,0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
19,0.7,180,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
20,0.6,228,0.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
21,0.5,235,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
22,0.6,233,0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
23,0.6,209,0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,6
0,0.5,240,0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
1,0.4,227,0.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
2,0.7,168,0.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
3,1.4,218,0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
4,0.7,119,0.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
5,1.1,175,0.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
6,0.5,148,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
7,0.5,173,-0.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
8,0.8,173,-0.7,0.01,0.0,0.0,Winter,No Holiday,Yes,December,7
9,0.8,265,-1.1,0.14,0.0,0.0,Winter,No Holiday,Yes,December,7
10,0.7,311,-1.4,0.41,0.0,0.0,Winter,No Holiday,Yes,December,7
11,1.7,628,-2.8,0.63,0.0,0.0,Winter,No Holiday,Yes,December,7
12,2.4,833,-2.2,0.98,0.0,0.0,Winter,No Holiday,Yes,December,7
13,3.1,1767,-9.3,1.14,0.0,0.0,Winter,No Holiday,Yes,December,7
14,2.7,1975,-9.4,1.04,0.0,0.0,Winter,No Holiday,Yes,December,7
15,3.1,1962,-10.1,0.84,0.0,0.0,Winter,No Holiday,Yes,December,7
16,2.9,1817,-9.7,0.51,0.0,0.0,Winter,No Holiday,Yes,December,7
17,2.0,1434,-7.2,0.15,0.0,0.0,Winter,No Holiday,Yes,December,7
18,2.7,1558,-9.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
19,2.5,1269,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
20,2.5,1620,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
21,2.2,1975,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
22,2.6,1844,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
23,2.1,1887,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,7
0,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
1,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
2,1.0,1918,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
3,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
4,2.4,1936,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
5,2.0,1941,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
6,3.5,1853,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
7,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
8,0.8,1559,-13.6,0.01,0.0,0.0,Winter,No Holiday,Yes,December,8
9,0.9,1492,-15.4,0.23,0.0,0.0,Winter,No Holiday,Yes,December,8
10,2.8,1516,-15.6,0.63,0.0,0.0,Winter,No Holiday,Yes,December,8
11,1.4,1595,-15.6,0.93,0.0,0.0,Winter,No Holiday,Yes,December,8
12,1.4,1728,-17.3,1.14,0.0,0.0,Winter,No Holiday,Yes,December,8
13,1.8,1963,-17.8,1.22,0.0,0.0,Winter,No Holiday,Yes,December,8
14,3.1,1906,-17.9,1.12,0.0,0.0,Winter,No Holiday,Yes,December,8
15,3.3,1977,-17.9,0.87,0.0,0.0,Winter,No Holiday,Yes,December,8
16,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes,December,8
17,2.7,2000,-17.6,0.18,0.0,0.0,Winter,No Holiday,Yes,December,8
18,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
19,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
20,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
21,0.5,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
22,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
23,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,8
0,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
1,0.6,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
2,0.7,1983,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
3,0.6,1992,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
4,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
5,0.8,1999,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
6,0.9,1975,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
7,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
8,0.7,1940,-12.8,0.01,0.0,0.0,Winter,No Holiday,Yes,December,9
9,1.0,1784,-14.0,0.23,0.0,0.0,Winter,No Holiday,Yes,December,9
10,1.3,1646,-13.4,0.61,0.0,0.0,Winter,No Holiday,Yes,December,9
11,1.1,1500,-10.5,0.89,0.0,0.0,Winter,No Holiday,Yes,December,9
12,0.8,1809,-9.8,1.05,0.0,0.0,Winter,No Holiday,Yes,December,9
13,2.0,1702,-9.8,1.13,0.0,0.0,Winter,No Holiday,Yes,December,9
14,2.2,1948,-10.6,1.06,0.0,0.0,Winter,No Holiday,Yes,December,9
15,2.0,1963,-11.0,0.84,0.0,0.0,Winter,No Holiday,Yes,December,9
16,1.6,1963,-10.5,0.4,0.0,0.0,Winter,No Holiday,Yes,December,9
17,1.8,1963,-9.8,0.1,0.0,0.0,Winter,No Holiday,Yes,December,9
18,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
19,0.4,1878,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
20,1.4,1848,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
21,0.7,1654,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
22,0.6,1655,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
23,1.3,1570,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,9
0,1.0,1629,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
1,0.5,1747,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
2,0.7,1726,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
3,0.5,1748,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
4,1.6,1816,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
5,1.0,178,-3.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
6,0.9,91,-1.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
7,1.1,121,-1.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
8,1.2,378,-1.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
9,1.0,305,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
10,0.4,143,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
11,0.9,137,-0.2,0.03,0.0,0.0,Winter,No Holiday,Yes,December,10
12,0.3,245,0.5,0.28,0.0,0.0,Winter,No Holiday,Yes,December,10
13,1.1,230,1.3,0.54,0.0,0.0,Winter,No Holiday,Yes,December,10
14,0.7,325,1.8,0.65,0.0,0.0,Winter,No Holiday,Yes,December,10
15,4.3999999999999995,715,0.1,0.35,0.0,0.0,Winter,No Holiday,Yes,December,10
16,3.5,622,0.5,0.2,0.0,0.0,Winter,No Holiday,Yes,December,10
17,4.3,1061,-2.3,0.03,0.0,0.0,Winter,No Holiday,Yes,December,10
18,3.0,2000,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
19,4.0,2000,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
20,3.9,1954,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
21,3.0,1862,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
22,4.3999999999999995,2000,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
23,4.3,2000,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,10
0,3.4,2000,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
1,3.8,2000,-16.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
2,3.4,2000,-17.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
3,2.4,2000,-16.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
4,3.2,2000,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
5,3.2,1974,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
6,2.9,1979,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
7,3.1,1996,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
8,3.6,1994,-18.0,0.01,0.0,0.0,Winter,No Holiday,Yes,December,11
9,4.3999999999999995,1941,-18.6,0.1,0.0,0.0,Winter,No Holiday,Yes,December,11
10,4.3999999999999995,2000,-19.4,0.62,0.0,0.0,Winter,No Holiday,Yes,December,11
11,3.8,2000,-17.5,1.0,0.0,0.0,Winter,No Holiday,Yes,December,11
12,4.3999999999999995,1973,-19.0,1.26,0.0,0.0,Winter,No Holiday,Yes,December,11
13,4.3999999999999995,1986,-19.5,1.24,0.0,0.0,Winter,No Holiday,Yes,December,11
14,4.1,1945,-19.9,1.13,0.0,0.0,Winter,No Holiday,Yes,December,11
15,4.3999999999999995,2000,-19.2,0.92,0.0,0.0,Winter,No Holiday,Yes,December,11
16,4.0,2000,-17.4,0.55,0.0,0.0,Winter,No Holiday,Yes,December,11
17,4.2,2000,-17.3,0.18,0.0,0.0,Winter,No Holiday,Yes,December,11
18,3.3,2000,-18.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
19,3.9,2000,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
20,3.8,2000,-18.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
21,2.5,2000,-17.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
22,3.0,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
23,1.2,2000,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,11
0,1.1,2000,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
1,1.1,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
2,0.7,2000,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
3,2.2,1995,-19.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
4,2.1,1982,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
5,2.8,1951,-21.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
6,2.5,1973,-20.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
7,2.3,1929,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
8,1.3,1914,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
9,2.9,1956,-21.1,0.1,0.0,0.0,Winter,No Holiday,Yes,December,12
10,3.3,1855,-20.1,0.6,0.0,0.0,Winter,No Holiday,Yes,December,12
11,3.1,1815,-19.9,0.93,0.0,0.0,Winter,No Holiday,Yes,December,12
12,2.9,1967,-21.0,1.14,0.0,0.0,Winter,No Holiday,Yes,December,12
13,2.4,1955,-19.1,1.22,0.0,0.0,Winter,No Holiday,Yes,December,12
14,2.0,1930,-19.5,1.12,0.0,0.0,Winter,No Holiday,Yes,December,12
15,2.8,2000,-20.6,0.92,0.0,0.0,Winter,No Holiday,Yes,December,12
16,2.8,1983,-21.2,0.58,0.0,0.0,Winter,No Holiday,Yes,December,12
17,2.6,2000,-20.9,0.19,0.0,0.0,Winter,No Holiday,Yes,December,12
18,1.0,2000,-20.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
19,1.1,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
20,1.0,2000,-19.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
21,1.4,1999,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
22,1.3,1999,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
23,2.1,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,December,12
0,1.3,1996,-18.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
1,1.6,1997,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
2,1.8,1949,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
3,1.8,1913,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
4,1.3,1907,-18.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
5,1.1,1923,-18.1,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
6,1.1,1974,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
7,1.6,1998,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
8,3.3,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
9,3.4,1981,-20.4,0.1,0.0,0.0,Winter,No Holiday,Yes,December,13
10,2.1,1875,-20.9,0.6,0.0,0.0,Winter,No Holiday,Yes,December,13
11,1.8,1806,-20.9,0.96,0.0,0.0,Winter,No Holiday,Yes,December,13
12,2.9,1945,-21.2,1.17,0.0,0.0,Winter,No Holiday,Yes,December,13
13,2.9,1887,-21.4,1.23,0.0,0.0,Winter,No Holiday,Yes,December,13
14,2.9,1883,-20.8,1.12,0.0,0.0,Winter,No Holiday,Yes,December,13
15,3.1,1887,-21.5,0.89,0.0,0.0,Winter,No Holiday,Yes,December,13
16,2.2,2000,-21.1,0.56,0.0,0.0,Winter,No Holiday,Yes,December,13
17,1.7,2000,-20.8,0.18,0.0,0.0,Winter,No Holiday,Yes,December,13
18,1.1,2000,-20.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
19,1.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
20,0.8,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
21,1.0,2000,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
22,0.1,2000,-20.3,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
23,0.4,1978,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes,December,13
0,0.6,1953,-18.0,0.0,0.0,0.0,Winter,No Holiday,Yes,December,14
